serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount15,sales_ratio16,property_type,residential_type
20085,2020,2020-11-06T00:00:00,Farmington,16 LINCOLN ST,201240,300000,0.6708,Residential,Single Family
201277,2020,2021-07-28T00:00:00,Danbury,5 KENDALL TERR E,227100,400000,0.5677,Residential,Single Family
201082,2020,2021-08-02T00:00:00,Manchester,50 HIGH LEDGE  CIRCLE,219700,370000,0.5937,Residential,Single Family
200205,2020,2021-07-19T00:00:00,Canton,37 ATWATER ROAD,445640,720000,0.6189,Residential,Single Family
200185,2020,2021-01-13T00:00:00,Guilford,312 OLD WHITFIELD ST,188520,161500,1.1673,Residential,Single Family
200163,2020,2021-03-26T00:00:00,Cromwell,195 WEST STREET,11500000,23884969,0.4814,Commercial,
200497,2020,2021-08-30T00:00:00,Madison,33 RIVER EDGE FARMS RD,382200,820000,0.466,Residential,Single Family
200786,2020,2021-04-07T00:00:00,Danbury,68 VIRGINIA AV #2,140700,234900,0.5989,Residential,Condo
201369,2020,2021-09-29T00:00:00,Bristol,14 JENNIFER RD,154630,340000,0.4547,Residential,Single Family
200240,2020,2021-04-09T00:00:00,Avon,13 MORGAN PLACE,181440,276000,0.6573,Residential,Condo
200478,2020,2021-02-04T00:00:00,Bristol,228 EAST RD,158480,250000,0.6339,Residential,Three Family
20235,2020,2020-12-22T00:00:00,East Hartford,374 OAK ST,91350,159900,0.5712,Residential,Single Family
200094,2020,2020-12-28T00:00:00,Cromwell,380 MAIN ST,190610,235000,0.8111,Residential,Two Family
200240,2020,2021-08-27T00:00:00,Litchfield,313 TORRINGTON RD,116890,275000,0.425,Residential,Single Family
200858,2020,2021-09-20T00:00:00,Glastonbury,2756 MAIN ST,508400,950000,0.5351,Commercial,
201258,2020,2021-06-15T00:00:00,Cromwell,11 HOLLY COURT,97510,185000,0.527,Residential,Condo
200067,2020,2021-05-21T00:00:00,Bethlehem,MAIN ST N 11-7//001E,132900,170000,0.7817,Vacant Land,
200368,2020,2021-03-31T00:00:00,East Haven,16 ROSES FARM RD,151720,296000,0.5125,Residential,Single Family
200477,2020,2021-01-21T00:00:00,Manchester,33 REDWOOD DRIVE,138200,228000,0.6061,Residential,Single Family
200067,2020,2021-01-07T00:00:00,East Windsor,133 WELLS RD,92050,147000,0.6261,Residential,Single Family
200304,2020,2021-08-03T00:00:00,Colchester,1004 CANTERBURY LN,102200,205000,0.498536585,Residential,Condo
201145,2020,2021-06-30T00:00:00,Danbury,15 SCUPPO RD 1703,130800,276750,0.4726,Residential,Condo
200009,2020,2020-10-22T00:00:00,Bethlehem,27 AUNCIENT OAK ROAD,287000,731000,0.392612859,Residential,Single Family
200064,2020,2021-04-13T00:00:00,East Granby,4 BRENTWOOD,72100,85000,0.848235294,Vacant Land,
200574,2020,2021-06-17T00:00:00,Branford,24 BUTTERMILK LA,239700,390000,0.6146,Residential,Single Family
200047,2020,2021-03-02T00:00:00,East Granby,48 HEMLOCK ROAD,166100,200000,0.8305,Residential,Single Family
200604,2020,2021-06-15T00:00:00,Enfield,7 CARNEY RD,105800,200000,0.529,Residential,Single Family
200147,2020,2020-11-02T00:00:00,Danbury,27 CROWS NEST LA 18-I,103200,185000,0.5578,Residential,Condo
200684,2020,2021-04-13T00:00:00,Bristol,71 HARVARD PL,205240,320000,0.6413,Residential,Single Family
20248,2020,2021-03-31T00:00:00,Bethel,7 NORTH CROSSING WAY,317831,630883,0.5037,Residential,Single Family
201167,2020,2021-09-01T00:00:00,Hartford,222 GIRARD AVE,195327,575000,0.33969913,Residential,Single Family
20027,2020,2020-10-14T00:00:00,Darien,24 CROSS ROAD,2758910,4150000,0.6647,Residential,Single Family
200260,2020,2021-01-22T00:00:00,Branford,19 LAUREL ST,272000,368000,0.7391,Commercial,
201141,2020,2021-06-07T00:00:00,Greenwich,504 NORTH STREET,5906250,6100000,0.9682,Residential,Single Family
200178,2020,2021-04-26T00:00:00,Colchester,120 PARK AVE,115600,205000,0.5639,Residential,Single Family
200640,2020,2021-07-28T00:00:00,Groton,184 F ST,41580,95000,0.437684211,Residential,Single Family
200737,2020,2021-03-23T00:00:00,Danbury,136 DEER HILL AVE 301,67100,126000,0.5325,Residential,Condo
201169,2020,2021-04-27T00:00:00,Griswold,91 PACHAUG RIVER DRIVE,149730,315000,0.475333333,Residential,Single Family
2000507,2020,2021-09-03T00:00:00,Cheshire,365 SYCAMORE LANE,209190,375000,0.55784,Residential,Single Family
201117,2020,2021-08-16T00:00:00,Hartford,120 ROSLYN ST,59536,101400,0.587140039,Residential,Single Family
2000163,2020,2021-03-09T00:00:00,Bloomfield,17 WORTHINGTON DRIVE,262080,422000,0.621,Residential,Single Family
200299,2020,2021-03-01T00:00:00,East Haven,15 ERICO DR,233820,285000,0.8204,Residential,Single Family
200349,2020,2021-03-25T00:00:00,East Haven,365 HEMINGWAY AVE,417500,650000,0.6423,Commercial,
200586,2020,2021-02-10T00:00:00,Danbury,23 BRENTWOOD CI,18200,574875,0.0316,Residential,Condo
200209,2020,2021-07-08T00:00:00,Litchfield,44 SPENCER ST,159390,480000,0.3320625,Residential,Single Family
201361,2020,2021-09-02T00:00:00,Cromwell,2 MT LAUREL COURT,83230,144000,0.5779,Residential,Condo
201227,2020,2021-09-16T00:00:00,Hartford,30 AIRPORT RD,186270,285000,0.6535,Commercial,
200371,2020,2021-03-26T00:00:00,Branford,329 WALDEN GREEN,109800,231000,0.4753,Residential,Condo
200472,2020,2021-01-11T00:00:00,Danbury,163 SOUTH ST 97,106800,168500,0.6338,Residential,Condo
20266,2020,2020-12-22T00:00:00,Hartford,67 DOUGLAS ST,45500,96000,0.4739,Residential,Single Family
200157,2020,2021-06-03T00:00:00,Essex,59 WOODLAND DR,189900,305500,0.6216,Residential,Single Family
200495,2020,2021-09-02T00:00:00,Avon,5 MYSTIC COURT,126000,195000,0.6461,Residential,Condo
200467,2020,2021-06-21T00:00:00,Farmington,788 FARMINGTON AV UNIT 303,254290,535000,0.4753,Residential,Condo
200672,2020,2021-07-01T00:00:00,Enfield,14 HERITAGE FARMS,94700,190000,0.4984,Residential,Condo
201031,2020,2021-06-07T00:00:00,Danbury,185 WESTVILLE AVE EXT,204300,445000,0.4591,Residential,Single Family
200236,2020,2021-08-25T00:00:00,East Windsor,119 RYE ST,114860,255000,0.4504,Residential,Single Family
2000226,2020,2021-03-15T00:00:00,Cheshire,15 DEANAROSE PL,205660,320000,0.6426,Residential,Condo
200632,2020,2021-07-23T00:00:00,Groton,57 RUSSELL ST,12530,55000,0.2278,Vacant Land,
200719,2020,2021-07-15T00:00:00,Enfield,47 TILL ST,93480,200000,0.4674,Residential,Single Family
200170,2020,2021-07-30T00:00:00,Hebron,619 OLD COLCHESTER RD,69130,125540,0.5506,Vacant Land,
200830,2020,2021-08-18T00:00:00,Enfield,28 BROAD LEAF LA,93970,200000,0.4698,Residential,Single Family
200789,2020,2021-05-18T00:00:00,Manchester,125 CLIFFSIDE DRIVE UNIT F,83400,212000,0.393396226,Residential,Condo
20166,2020,2020-11-23T00:00:00,Hartford,159 BABCOCK ST,15120,18500,0.8172,Vacant Land,
200105,2020,2020-10-20T00:00:00,Greenwich,21 ROBERTA LANE,1074010,577500,1.859757576,Residential,Single Family
200439,2020,2021-07-19T00:00:00,Madison,76 HIGH HILL CIR,628100,1000000,0.6281,Residential,Single Family
200096,2020,2021-06-28T00:00:00,Harwinton,56 SOUTH SHORE DR,203220,310000,0.6555,Residential,Single Family
200467,2020,2021-08-17T00:00:00,Avon,9 BYRON DRIVE,139640,195000,0.7161,Residential,Condo
2000261,2020,2021-06-03T00:00:00,Bloomfield,1399 BLUE HILLS AVE,898030,1412003,0.6359,Industrial,
2020391,2020,2021-08-05T00:00:00,Berlin,1011 FARMINGTON AVE,191700,270000,0.71,Commercial,
200263,2020,2021-06-25T00:00:00,Coventry,21 MAPLEWOOD TR,111400,180000,0.6188,Residential,Single Family
201125,2020,2021-06-04T00:00:00,Greenwich,10 GOLF CLUB LANE,1474340,2795000,0.5274,Residential,Single Family
20088,2020,2020-11-20T00:00:00,Bethel,12 EMPIRE LANE,423430,640000,0.6616,Residential,Single Family
20856,2020,2021-08-26T00:00:00,East Hartford,445 TOLLAND ST,80210,179999,0.4456,Residential,Single Family
200161,2020,2020-11-02T00:00:00,Danbury,81-95 PARK AV 905,105400,255000,0.413333333,Residential,Condo
200020,2020,2020-10-20T00:00:00,Bloomfield,295 TUNXIS AVE,183400,276000,0.6644,Residential,Single Family
200048,2020,2021-01-13T00:00:00,Goshen,43 CORNWALL DRIVE,376870,580000,0.6497,Residential,Single Family
200499,2020,2021-08-31T00:00:00,Madison,3 CURRYCROSS RD,216100,337000,0.6412,Residential,Condo
200147,2020,2020-11-25T00:00:00,Groton,7 PONS RD,180460,344000,0.5245,Residential,Single Family
200086,2020,2021-02-09T00:00:00,Canton,53 BRIDGE STREET,138520,252000,0.5496,Residential,Single Family
200386,2020,2021-01-06T00:00:00,Bristol,150 GLENDALE DR,139090,150000,0.9272,Residential,Single Family
200164,2020,2021-05-20T00:00:00,Mansfield,64 B CRYSTAL LA,75400,135500,0.5564,Residential,Condo
20036,2020,2021-01-05T00:00:00,Ashford,343 WATERFALL RD,82590,81399,1.014631629,Residential,Single Family
20040,2020,2020-12-14T00:00:00,Lebanon,464 DEEPWOOD DR,225430,450000,0.5009,Residential,Single Family
200100,2020,2021-07-21T00:00:00,Columbia,PINE STREET,11040,275000,0.040145455,Vacant Land,
200485,2020,2021-05-19T00:00:00,Branford,42 ORCHARD HILL RD,188500,330000,0.5712,Residential,Single Family
200260,2020,2021-03-04T00:00:00,Farmington,80 MT SPRING RD,961670,1500000,0.6411,Residential,Single Family
200012,2020,2020-10-14T00:00:00,Bloomfield,487 SIMSBUY RD,179280,271000,0.6615,Residential,Single Family
200045,2020,2020-12-04T00:00:00,Easton,15 CARRIAGE DRIVE,673160,1087000,0.6192,Residential,Single Family
200448,2020,2021-07-12T00:00:00,Guilford,65 ROBIN LN,186280,440000,0.4233,Residential,Single Family
2000244,2020,2021-03-24T00:00:00,Cheshire,24 ST JOSEPH ST,115430,175000,0.6596,Residential,Single Family
200064,2020,2020-12-08T00:00:00,Colchester,39 CIRILLO DR,68600,125000,0.5488,Vacant Land,
200276,2020,2020-11-24T00:00:00,Danbury,7 PADANARAM RD H172,62700,103000,0.6087,Residential,Condo
200319,2020,2021-02-18T00:00:00,Glastonbury,72 HILL ST,322200,551000,0.5847,Residential,Single Family
200955,2020,2021-06-21T00:00:00,Bristol,12 LANTERN HILL RD,155330,295000,0.5265,Residential,Single Family
200083,2020,2021-06-02T00:00:00,Columbia,167 ROUTE 87 WEST AND LAND ON,231800,510000,0.4545,Residential,Single Family
200468,2020,2021-05-11T00:00:00,Branford,7-1 FOXWOOD CROSSING,129600,220000,0.589,Residential,Condo
200964,2020,2021-07-01T00:00:00,Manchester,1222 MIDDLE TURNPIKE WEST UNIT,33100,75000,0.4413,Residential,Condo
200785,2020,2021-08-02T00:00:00,Enfield,14 HERON RD,119460,250000,0.4778,Residential,Single Family
201113,2020,2021-08-09T00:00:00,Manchester,22 GLENWOOD STREET,99100,190000,0.5215,Residential,Two Family
20822,2020,2021-06-01T00:00:00,Hartford,245 BONNER ST,66151,220000,0.3006,Residential,Single Family
200716,2020,2021-04-26T00:00:00,Bristol,29 MAIDEN LN,197890,383000,0.5166,Residential,Single Family
200028,2020,2020-10-28T00:00:00,East Haddam,109 LONGWOOD DR,78710,150000,0.5247,Residential,Single Family
200912,2020,2021-06-14T00:00:00,Bristol,244 SUMMER ST,167650,309000,0.5425,Residential,Three Family
200307,2020,2021-02-23T00:00:00,Branford,14 BERRY PATCH RD,222100,375000,0.5922,Residential,Single Family
200375,2020,2020-12-21T00:00:00,Manchester,290 SCHOOL STREET,90100,129000,0.6984,Residential,Single Family
200670,2020,2021-08-02T00:00:00,Branford,35 LANPHIER RD,249100,223000,1.117,Residential,Single Family
200093,2020,2021-01-09T00:00:00,Litchfield,225 BRUSH HILL RD,165520,335000,0.494,Residential,Single Family
200016,2020,2020-11-02T00:00:00,Kent,181 KENT CORNWALL RD,159000,300000,0.53,Residential,Single Family
200235,2020,2021-01-07T00:00:00,Branford,96 STONY CREEK RD,93300,100000,0.933,Vacant Land,
200110,2020,2020-11-05T00:00:00,Branford,741 ROBERT FROST DR,114400,169000,0.6769,Residential,Condo
201550,2020,2021-08-05T00:00:00,Greenwich,4 MOUNTAIN LAUREL DRIVE,2148300,2000000,1.0741,Residential,Single Family
200062,2020,2020-10-13T00:00:00,Danbury,55 MILL PLAIN RD 8-4,135600,245000,0.5534,Residential,Condo
201162,2020,2021-08-11T00:00:00,Bristol,40 SOUTH ST UN 16 AKA C-1,69510,154500,0.449902913,Residential,Condo
200513,2020,2021-05-28T00:00:00,Branford,60 BAYPATH WAY,103200,180000,0.5733,Residential,Condo
200209,2020,2021-01-26T00:00:00,Farmington,14 BUENA VISTA ST,158470,246500,0.6428,Residential,Single Family
200727,2020,2021-08-30T00:00:00,Branford,49 ROSE ST TOWERS UNIT 503,96700,158000,0.612025316,Residential,Condo
200740,2020,2021-09-02T00:00:00,Groton,22 MONUMENT ST,126210,304000,0.4151,Residential,Single Family
20003,2020,2020-10-01T00:00:00,Hartford,40 OWEN ST #E3,24460,80000,0.30575,Residential,Condo
201323,2020,2021-09-01T00:00:00,Griswold,36 RICHARD AVE,32830,1400000,0.02345,Vacant Land,
200000387,2020,2021-08-24T00:00:00,Brookfield,4A OLD TURNPIKE,207620,385000,0.5392,Residential,Single Family
200150,2020,2020-12-30T00:00:00,Madison,11 CENTRE VILLAGE DR,229900,370725,0.6201,Residential,Condo
200375,2020,2020-12-16T00:00:00,Greenwich,27 NORTH RIDGE ROAD,1633940,2660000,0.6142,Residential,Single Family
200180,2020,2021-07-20T00:00:00,Easton,41 RIDGE LINE ROAD,629870,730000,0.862835616,Residential,Single Family
20437,2020,2021-02-18T00:00:00,Hartford,14 RODNEY ST,73255,340000,0.2154,Residential,Two Family
200124,2020,2020-11-24T00:00:00,East Haven,180 TYLER ST,146810,188000,0.7809,Residential,Single Family
201364,2020,2021-08-16T00:00:00,Danbury,POCONO POINT RD,14800,35000,0.4228,Residential,Single Family
200862,2020,2021-04-16T00:00:00,Greenwich,35 ORCHARD PLACE,1184890,2000000,0.5924,Residential,Single Family
2020136,2020,2021-02-11T00:00:00,Ansonia,21 WINESAP CT,83600,167000,0.5005,Residential,Condo
200279,2020,2021-01-12T00:00:00,Enfield,243A PEARL ST,101740,100000,1.0174,Residential,Single Family
200081,2020,2020-11-25T00:00:00,Killingly,98 WILLIAMSVILLE RD,191590,274000,0.6992,Residential,Single Family
2000357,2020,2021-06-08T00:00:00,Cheshire,30 SHIRE CT,471600,795000,0.5932,Residential,Single Family
200448,2020,2021-04-26T00:00:00,Glastonbury,54-56 MADISON RD,202500,305000,0.6639,Residential,Two Family
200196,2020,2021-09-08T00:00:00,Hebron,436 OLD COLCHESTER RD,358670,759000,0.4725,Residential,Single Family
20557,2020,2021-08-09T00:00:00,Darien,336 HOLLOW TREE RIDGE RD,1426250,2450000,0.582142857,Residential,Single Family
200916,2020,2021-04-29T00:00:00,Greenwich,51 FOREST AVE UN175,438900,748000,0.5867,Residential,Condo
200749,2020,2021-09-07T00:00:00,Branford,19 LAUREL ST,272000,415000,0.6554,Commercial,
200126,2020,2020-12-15T00:00:00,Madison,112 FLINTLOCK RD,260300,445000,0.5849,Residential,Single Family
20060,2020,2020-10-21T00:00:00,Hartford,3580 MAIN ST,2450000,4315000,0.5677,Commercial,
200049,2020,2020-10-16T00:00:00,Enfield,10 ORCHARD HILL DR,122880,225500,0.5449,Residential,Single Family
200234,2020,2021-01-08T00:00:00,Groton,143 PROSPECT HILL RD,101080,142500,0.709333333,Residential,Single Family
2020002,2020,2020-10-01T00:00:00,Ansonia,75 JEWETT ST,115700,165000,0.701212121,Residential,Two Family
200467,2020,2021-07-19T00:00:00,Guilford,56 SPERRY DR,163070,345000,0.4726,Residential,Single Family
200069,2020,2021-04-12T00:00:00,Beacon Falls,9 AVON COURT,65590,169000,0.388106509,Residential,Condo
200225,2020,2021-08-18T00:00:00,East Windsor,CHAMBERLAIN RD,26340,250000,0.1053,Vacant Land,
200640,2020,2021-02-17T00:00:00,Greenwich,34 TURNER DRIVE,721630,1751000,0.4121245,Vacant Land,
200065,2020,2020-11-24T00:00:00,Bloomfield,95 WINTONBURY AVENUE,195430,285000,0.6857,Residential,Single Family
200615,2020,2021-08-10T00:00:00,Farmington,1634-16 FARMINGTON AV,44930,100000,0.4493,Residential,Condo
201138,2020,2021-08-20T00:00:00,Hartford,94 MONTROSE ST,81255,190000,0.4276,Residential,Single Family
200199,2020,2021-01-19T00:00:00,Farmington,205 OLD MOUNTAIN RD,423360,1137500,0.372184615,Residential,Single Family
200118,2020,2021-01-07T00:00:00,Killingly,559 BRICKHOUSE EXTENSION,41160,57500,0.7158,Vacant Land,
200823,2020,2021-04-15T00:00:00,Danbury,55 MILL PLAIN RD 9-3,135300,165000,0.82,Residential,Condo
200184,2020,2021-07-01T00:00:00,East Windsor,2109 MEADOWVIEW DR,157950,255000,0.6194,Residential,Condo
20620,2020,2021-04-09T00:00:00,Hartford,100 WELLS ST #R410 & 100 WELLS,24605,100000,0.24605,Residential,Condo
200038,2020,2020-12-31T00:00:00,Goshen,WL721  EAST HYERDALE DRIVE,88200,105000,0.84,Vacant Land,
200241,2020,2021-03-15T00:00:00,Guilford,76 GLENWOOD DR,199610,413000,0.4833,Residential,Single Family
200072,2020,2020-10-21T00:00:00,Manchester,227 SADDLEHILL ROAD,190300,305000,0.6239,Residential,Single Family
200765,2020,2021-08-17T00:00:00,Glastonbury,15 GAYFEATHER LN,100500,206000,0.4878,Residential,Condo
20041,2020,2021-06-21T00:00:00,Colebrook,7 BUNNELL STREET EXT,190400,312000,0.61025641,Residential,Single Family
200152,2020,2020-11-05T00:00:00,Bristol,489 WOLCOTT ST UN 105,85330,142000,0.6009,Residential,Condo
200001,2020,2020-10-01T00:00:00,Easton,326 BEERS ROAD,376070,330000,1.139606061,Residential,Single Family
20301,2020,2021-05-05T00:00:00,Darien,29 WALMSLEY RD,673680,1355000,0.497180812,Residential,Single Family
201135,2020,2021-08-20T00:00:00,Hartford,179 ROGER ST,62108,141000,0.4404,Residential,Single Family
20233,2020,2021-03-16T00:00:00,Bethel,27 KINGSWOOD DRIVE UNIT 55,162330,280000,0.5797,Residential,Condo
200090,2020,2020-11-24T00:00:00,Madison,256 LEGEND HILL RD,234300,450000,0.5206,Residential,Condo
200038,2020,2021-01-05T00:00:00,Harwinton,33 HANNAH WAY,237540,325500,0.729769585,Residential,Single Family
200984,2020,2021-06-29T00:00:00,Bristol,86 JENNINGS ROAD,100450,116500,0.8622,Residential,Single Family
20000095,2020,2020-12-04T00:00:00,Brookfield,51 ARROWHEAD RD,313710,800000,0.3921,Residential,Single Family
200582,2020,2021-03-02T00:00:00,Manchester,304 AUTUMN STREET,113400,267000,0.424719101,Residential,Single Family
20071,2020,2020-10-27T00:00:00,East Hartford,14 BLUEFIELD DR,123060,230000,0.535,Residential,Single Family
200179,2020,2020-12-29T00:00:00,Guilford,42 WAUWINET CT,51450,95000,0.5415,Residential,Condo
20167,2020,2021-01-06T00:00:00,Bethel,153 A13 GRASSY PLAIN STREET,70420,114000,0.6177,Commercial,
200685,2020,2021-04-07T00:00:00,Manchester,15 BROAD STREET,97800,205000,0.477073171,Residential,Single Family
200027,2020,2020-11-12T00:00:00,Columbia,13 CARDS MILL ROAD,182600,314000,0.5815,Residential,Single Family
2000013,2020,2020-10-08T00:00:00,Cheshire,40 SOUTHWICK CT U107,83800,183000,0.457923497,Residential,Condo
20434,2020,2021-06-24T00:00:00,Darien,241 NOROTON AVE,536480,1620000,0.331160494,Residential,Single Family
200939,2020,2021-05-17T00:00:00,Danbury,29 ROBINHOOD RD,235000,96000,2.4479,Residential,Single Family
200214,2020,2021-08-09T00:00:00,East Windsor,366 LONG HILL RD,173330,355000,0.4882,Residential,Single Family
200025,2020,2020-12-02T00:00:00,Beacon Falls,792 SOUTH MAIN STREET,120750,199900,0.604,Residential,Single Family
200066,2020,2020-12-21T00:00:00,Canton,24 WRIGHT ROAD,243750,425000,0.5735,Residential,Single Family
200052,2020,2021-03-02T00:00:00,Harwinton,24 HANNAH WAY,234800,329900,0.711730828,Residential,Single Family
200333,2020,2021-05-14T00:00:00,East Lyme,18 BLACK PT RD,160300,352750,0.4544,Residential,Single Family
200078,2020,2020-10-28T00:00:00,Branford,3-01 PLYMOUTH COLONY,126500,190000,0.6657,Residential,Condo
20290,2020,2021-01-13T00:00:00,East Hartford,120 KING ST,148060,246900,0.5996,Residential,Single Family
20074,2020,2021-01-05T00:00:00,Derby,98 WATER ST,75950,210000,0.3616,Residential,Two Family
200280,2020,2021-05-11T00:00:00,Avon,4 DOVE CIRCLE,115080,173000,0.6652,Residential,Condo
200244,2020,2020-11-19T00:00:00,Danbury,2 E PEARL ST,104600,370000,0.2827,Residential,Single Family
200340,2020,2021-03-19T00:00:00,Groton,70 TOWER AVE,94920,174900,0.54271012,Residential,Single Family
200158,2020,2021-03-16T00:00:00,Cromwell,14 IRON GATE LANE,223440,285000,0.784,Residential,Single Family
201270,2020,2021-09-16T00:00:00,Manchester,92 OVERLOOK DRIVE,127700,250000,0.5108,Residential,Single Family
200660,2020,2021-03-31T00:00:00,Manchester,41 RED ROCK LANE,191500,300000,0.6383,Residential,Single Family
200024,2020,2021-01-14T00:00:00,Bridgewater,0 NEW MILFORD RD EAST,244400,400000,0.611,Vacant Land,
200111,2020,2021-04-08T00:00:00,East Windsor,183 MELOSE RD,121740,290900,0.4184,Residential,Single Family
200490,2020,2021-05-25T00:00:00,East Haven,48 MASSACHUSETTS AVE,133150,285000,0.4671,Residential,Two Family
200910,2020,2021-09-15T00:00:00,Enfield,8 COLONIAL DR,112420,243000,0.4626,Residential,Single Family
200501,2020,2021-02-18T00:00:00,Bristol,36 SURREY DR,94500,189750,0.498,Residential,Single Family
20109,2020,2021-06-11T00:00:00,Lebanon,173 CLARKE RD,126570,230000,0.5503,Residential,Single Family
200086,2020,2020-11-02T00:00:00,Enfield,5 JOHN ST,94180,165000,0.5707,Residential,Single Family
200730,2020,2021-09-23T00:00:00,East Haven,5 DEMETER DR,150280,275000,0.5464,Residential,Single Family
200181,2020,2020-12-24T00:00:00,East Haven,184 DODGE AVE,705800,800000,0.8822,Commercial,
201044,2020,2021-07-22T00:00:00,Manchester,170 WELLS STREET,135400,232000,0.5836,Residential,Single Family
20106,2020,2020-11-04T00:00:00,Hartford,38 SANFORD ST,168070,360000,0.4668,Apartments,
20015,2020,2020-10-26T00:00:00,Lebanon,40 LOUISE RD,81590,185000,0.441,Residential,Single Family
200885,2020,2021-09-30T00:00:00,Glastonbury,9 WHITNEY LN,131900,230111,0.5732,Residential,Condo
20533,2020,2021-05-12T00:00:00,East Hartford,11 CLUNE ST,73050,145000,0.5037,Residential,Single Family
200018,2020,2020-10-05T00:00:00,Danbury,22 SHOREVIEW LA,421000,730000,0.5767,Residential,Single Family
200735,2020,2021-04-30T00:00:00,Bristol,90 CENTRAL ST + LOT 71A LINCOL,165200,325000,0.5083,Vacant Land,
20000233,2020,2021-04-13T00:00:00,Brookfield,13 DOUGLAS DR,94530,204000,0.463382353,Residential,Condo
200571,2020,2021-06-11T00:00:00,Glastonbury,70 UPLANDS WAY,149700,265100,0.5646,Residential,Condo
200126,2020,2021-02-08T00:00:00,Coventry,61 JUNIPER DR,73100,76650,0.9536,Residential,Single Family
200002,2020,2020-10-01T00:00:00,Madison,114 SQUIRES RD,229700,365000,0.6293,Residential,Single Family
200771,2020,2021-09-14T00:00:00,Branford,80 MONTOYA,93300,225000,0.414666667,Residential,Condo
200147,2020,2020-12-01T00:00:00,Glastonbury,51 FERN ST,307300,468000,0.6566,Residential,Single Family
200340,2020,2021-07-06T00:00:00,Killingly,341 LEDGE RD,176680,387000,0.4565,Residential,Single Family
201074,2020,2020-12-16T00:00:00,Griswold,66 BMW DRIVE,234360,400000,0.5859,Residential,Single Family
2020068,2020,2020-11-20T00:00:00,Berlin,"319 NEW BRITAIN ROAD, UNIT 222",58500,120000,0.4875,Residential,Condo
20052,2020,2021-09-28T00:00:00,Eastford,192 EASTFORD RD,154540,239000,0.6466,Commercial,
2020268,2020,2021-05-27T00:00:00,Berlin,244 HAWTHORNE DR,190800,324800,0.5874,Residential,Condo
200091,2020,2021-01-04T00:00:00,Colchester,270 PROSPECT HILL RD,188200,360000,0.522777778,Residential,Single Family
20670,2020,2021-07-01T00:00:00,East Hartford,47 BIDWELL AVE,104580,275000,0.380290909,Residential,Two Family
20075,2020,2020-12-28T00:00:00,Burlington,8 WESTLAND RD,204190,652000,0.3131,Residential,Single Family
200822,2020,2021-09-02T00:00:00,Glastonbury,1703 MAIN ST,206600,406000,0.5088,Residential,Single Family
2000003,2020,2020-10-20T00:00:00,Hampton,887 PUDDING HILL RD,122480,270000,0.4536,Residential,Single Family
20417,2020,2021-03-15T00:00:00,East Hartford,29-31 WOODLAWN CIR,88100,184650,0.4771,Residential,Two Family
200041,2020,2021-05-14T00:00:00,Bridgewater,10 KRUSKYVILLE ROAD,336000,400000,0.84,Commercial,
20573,2020,2021-05-26T00:00:00,East Hartford,476 BREWER ST,105980,80000,1.3247,Residential,Single Family
200771,2020,2021-09-17T00:00:00,Groton,5-7 NORFOLK CT,83020,175000,0.4744,Residential,Two Family
20000158,2020,2021-05-13T00:00:00,Granby,20 WOLCOTT DR,149310,286000,0.522,Residential,Single Family
20350,2020,2021-06-02T00:00:00,Bethel,512 COPPER SQUARE DRIVE,254940,430000,0.5928,Residential,Condo
200981,2020,2021-05-10T00:00:00,Greenwich,528 WEST LYON FARM DRIVE,473340,955000,0.4956,Residential,Condo
20107,2020,2021-03-01T00:00:00,Burlington,28 CLAIRE HILL RD,189490,315000,0.6015,Residential,Single Family
200104,2020,2020-10-20T00:00:00,Danbury,25 ROSE LA,194200,375000,0.5178,Residential,Single Family
20163,2020,2020-11-20T00:00:00,Hartford,33 DEAN ST,49560,160000,0.3097,Residential,Two Family
200231,2020,2021-08-10T00:00:00,Litchfield,280 RICHARDS RD EXT,119390,305000,0.3914,Residential,Single Family
200123,2020,2021-08-27T00:00:00,Bethany,155 SPERRY RD,164210,376130,0.4365,Residential,Single Family
200351,2020,2021-03-08T00:00:00,Glastonbury,26 CARTER LN,169100,330000,0.5124,Residential,Condo
201298,2020,2021-08-06T00:00:00,Griswold,115 RUSSELL ST,108220,183000,0.5913,Residential,Single Family
200174,2020,2021-07-14T00:00:00,Easton,22 HIGH RIDGE PLACE,313080,611325,0.5121,Residential,Single Family
200128,2020,2020-11-02T00:00:00,Bristol,23 TROUT BROOK RD,150640,290000,0.5194,Residential,Three Family
20031,2020,2020-10-16T00:00:00,Farmington,84+88 MT SPRING RD,321640,358000,0.8984,Vacant Land,
2020005,2020,2020-10-06T00:00:00,Berlin,49 BUTTERNUT LN,165400,275000,0.6014,Residential,Single Family
201473,2020,2021-09-07T00:00:00,Danbury,6 ROSE LA 5-50,73300,125000,0.5864,Residential,Condo
20113,2020,2020-11-12T00:00:00,East Hartford,24 BURKE ST,83950,189000,0.444179894,Residential,Single Family
200621,2020,2021-02-23T00:00:00,Danbury,42 SANDPIT RD,137400,235000,0.5846,Residential,Single Family
200663,2020,2021-02-25T00:00:00,Greenwich,1 PUTNAM HILL UN4-F,59798900,280000,213.5675,Residential,Condo
200186,2020,2021-06-28T00:00:00,Canton,447 DOWD AVENUE,85140,150000,0.5676,Residential,Condo
200020,2020,2020-10-20T00:00:00,Essex,40 SUNSET TERR,180300,349999,0.5151,Residential,Single Family
